speaker_id	audio	sentence	gender	gender_domain	duration
3	221114-055325_nya_626_elicit_1	tsekwe wamkulu akugwedeza mapiko ake pamene akutuluka m madzi 	F	0	9.62
3	221114-055325_nya_626_elicit_3	bambo akuyang ana pa kamera akujambula chithunzi ndi dzanja lake atakumbatira mayi yemwe akuyang ana kumbali 	F	0	12.12
3	221114-055325_nya_626_elicit_4	galu woyera pamaso pa munthu amene waima m madzi akudumpha 	F	0	6.15
3	221114-055325_nya_626_elicit_5	galu wabulauni wokhala ndi kolala wabulauni akukumba mumchenga 	F	0	5.97
3	221114-055325_nya_626_elicit_7	oimba ena ovala zovala zachibadwidwe cha ku america akuimba zida zachikhalidwe 	F	0	10.89
3	221114-055325_nya_626_elicit_8	pokhala ndi nsonga zokhotakhota chakumbuyo bambo wina wovala jinzi ndi t sheti yofiirira akudumphira pamutu pamilu ya matiresi okutidwa ndi mapepala 	F	0	19.99
3	221114-055325_nya_626_elicit_10	oombeza njoka atatu aima mumsewu pamene wina amakoka njoka m bokosi ndipo njoka ina yaikulu ikubweza mutu wake kutsogolo 	F	0	15.95
3	221114-055325_nya_626_elicit_11	mwamuna akudumpha njinga yofiira ndi yakuda mu park skate park 	F	0	6.53
3	221114-055325_nya_626_elicit_12	mwamuna wovala zovala zazing ono akudumpha panjinga yofiira 	F	0	5.51
3	221114-055325_nya_626_elicit_13	wokwera njinga yamoto yothamanga wagwa panjinga yake ndipo akutsetsereka pansi pomwe wokwera wina akuyendetsa kumbuyo 	F	0	13.91
3	221114-055325_nya_626_elicit_14	azimayi akukwera pamahatchi m bwalo lamasewera atanyamula mbendera za canada ndi united states 	F	0	9.23
3	221114-055325_nya_626_elicit_16	ng ombe yamphongo ikuthamangitsa wokwerapo pamene anyamata ena angapo akuyesera kuiletsa 	F	0	10.75
3	221114-055325_nya_626_elicit_17	mtsikana wina akukweza mawu ake poimba nyimbo m munda pafupi ndi nyumba yakale yamatabwa 	F	0	11.73
3	221114-055325_nya_626_elicit_18	anthu atatu aimirira pampanda akuyang ana mzinda womwe uli ndi zinyumba zosanja kwambiri pomwe wina akuyang ana pawonedwe kawonedwe ka filimu 	F	0	18.26
3	221114-055325_nya_626_elicit_20	uyu ndi dona yemwe wavala chovala cha buluu wavala nsapato zoyera ndi blue shoes atanyamula racket ya tenisi m manja mwake 	F	0	13.52
3	221114-055325_nya_626_elicit_21	munthu waima ndi ziboliboli ziwiri zamiyendo ndipo wavala mathalauza opindika ndi malaya akuda 	F	0	13.38
3	221114-055325_nya_626_elicit_23	mnyamata wamng ono wovala malaya amizeremizere yoyera ndi bandeji kumutu atanyamula racket ya tenisi 	F	0	9.8
3	221114-055325_nya_626_elicit_24	woseweretsa wovala malaya okongola komanso chipewa choweta ng ombe akukweza manja ake pagulu la anthu 	F	0	11.8
3	221114-055325_nya_626_elicit_25	mnyamata woweta ng ombe akuponyedwa pahatchi imene anakwera pamene woweruza waima chapafupi atanyamula dzanja lake pa mbendera yachikasu 	F	0	19.85
3	221114-055325_nya_626_elicit_26	tsitsi lalitali likukulungidwa ndi chitsulo chochiritsira ndi munthu wokhala ndi zibangili zamitundu iwiri yasiliva 	F	0	17.29
3	221114-055325_nya_626_elicit_27	mnyamata wina woweta ng ombe atavala chovala choyera anangovula ng ombe yokwiya 	F	0	9.3
3	221114-055325_nya_626_elicit_28	wokwera ng ombe wakuda akuponyedwa m mwamba ndi ng ombe yakuda pamene anyamata anzake akuyang ana 	F	0	8.98
3	221114-055325_nya_626_elicit_31	mnyamata wovala mathabwa osambira ofiira akusewera pamchenga panyanja 	F	0	7.76
3	221114-055325_nya_626_elicit_32	mnyamata wokhala ndi chisoti cha buluu amaima pa zingwe pamwamba pa wina aliyense 	F	0	7.83
3	221114-055325_nya_626_elicit_33	bambo akuimba gitala pansi pa magetsi ndi anthu ena kumbuyo 	F	0	9.41
3	221114-055325_nya_626_elicit_34	mwamuna wovala malaya oyera akuyenda mu udzu wautali atagwira ndodo 	F	0	7.44
3	221114-055325_nya_626_elicit_35	bambo wina wovala malaya abuluu achikasu ndi oyera akukwera njinga 	F	0	6.67
3	221114-055325_nya_626_elicit_36	mnyamatayo akuyenda padenga la nyumba ngati kaiti ikuwuluka patali mitambo 	F	0	8.85
