speaker_id	audio	sentence	gender	gender_domain	duration
2	221113-091210_nya_394_elicit_19	anthu anayi akuthamanga mosiyanasiyana paphiri la chipale chofewa pamene galu akuthamangitsa mmodzi wa iwo mwamasewera 	M	1	12.5
3	221114-083438_nya_626_elicit_0	kamtsikanako kakhala pampando wawung ono wa wicker wovala chovala chokongola chachikasu ndi choyera 	F	0	11.21
2	221101-154133_nya_394_elicit_28	munthu wa snowboarder wovala chipewa chobiriwira akukwera m mphepete mwachitsulo 	M	1	7.28
7	221026-002221_nya_b6c_elicit_29	mayi akutsamira khoma pamene kamera ikugwira ntchito pafupi naye 	F	0	8.51
2	221030-132751_nya_394_elicit_32	patsiku la mvula pa kanjira kakang ono kozungulira kozungulira ndi udzu mnyamata wovala mathalauza ndi zingwe amakwera njinga yake 	M	1	12.07
9	221002-191144_nya_97d_elicit_17	gulu la ana aang ono limayang ana gulu la ana okulirapo akusewera mpira mumsewu wa mumzinda 	F	0	12.93
2	221030-103809_nya_394_elicit_18	wosewera mpira wovala malaya akuda ndi alalanje ndipo atavala magolovu amaponya mpirawo 	M	1	8.6
2	221029-163752_nya_394_elicit_24	bambo wina wanyamula milu ya maluwa pamene galu wakhala m basiketi kumbuyo kwa njinga 	M	1	8.96
3	221114-085825_nya_626_elicit_34	mayi wina wovala malaya oyera ndi mathalauza ofiira akulemba chinachake pamalo osungiramo zinthu zakale 	F	0	9.55
4	221112-004306_nya_626_elicit_39	skateboarder watsitsi lalitali amawuluka pamwamba pa masitepe a simenti ndi bannister yachitsulo 	F	0	10.44
7	221025-231255_nya_b6c_elicit_20	mwamuna wovala nsapato zofiira ndi akabudula osindikizira ofiira ndi oyera akuwonekera kutsogolo kwa miyala ndi madzi 	F	0	11.21
2	221030-132751_nya_394_elicit_39	amuna atatu achipwitikizi atakhala pagome la mutu m chipinda choyang anizana ndi chizindikiro 	M	1	8.98
4	221111-213342_nya_626_elicit_48	osewera mpira achikazi anayi akuyesera kumenya mpira pogwiritsa ntchito mitu yawo nthawi imodzi pamasewera ovuta 	F	0	14.47
2	221030-132751_nya_394_elicit_49	mayi wovala malaya akuda ndi achikasu amayeretsa pansi pamipando yofiira 	M	1	7.17
4	221111-235753_nya_626_elicit_28	mnyamata wovala chisoti panjinga akuwuluka mumlengalenga pamene akukwera pakati pa mapiri afumbi ndi mtsinje kumbuyo kwake 	F	0	11.09
3	221114-084253_nya_626_elicit_24	galu wokhala ndi chidole pakamwa amalumpha pamwamba pa bala yokongoletsedwa ndi maliboni amtengo 	F	0	13.32
2	221028-145922_nya_394_elicit_39	bambo wina wovala malaya akuda ndi zotsekera m makutu akuyang ana injini ya galimoto yothamanga yofiira ndi yoyera pamene mwamuna wina wovala magalasi akuyang ana 	M	1	14.79
3	221114-084253_nya_626_elicit_6	amuna awiri onse ovala ma jeans akudumpha m mwamba kutsogolo kwa tebulo la pikiniki atakhala kutsogolo kwa khoma lamwala lomwe lili ndi mpanda wawaya ndi mitengo kumbuyo kwake 	F	0	18.65
3	221114-084253_nya_626_elicit_19	gulu la hockey lofiira ndi loyera kumbali ya ice rink 	F	0	5.97
2	221028-145922_nya_394_elicit_24	mzimayi wa tsitsi lofiirira akulankhula ndi gulu la ana asukulu achikazi atsitsi lakuda atanyamula mapepala 	M	1	9.12
11	221018-125424_nya_e3d_elicit_27	goloboyi wa hockey wa ayezi atavala mzere wofiira ndi wabuluu wagwada patsogolo pa goli 	F	0	11.73
2	221101-113540_nya_394_elicit_5	mnyamata wovala malaya achikasu akukwera pa skateboard pa bala lofiira 	M	1	6.6
2	221021-234718_nya_394_elicit_3	bambo akugwira ntchito pa makompyuta awiri nthawi imodzi atavala t shirt muofesi ndi amuna ena 	M	1	8.62
7	221025-225254_nya_b6c_elicit_35	wokwera mu malaya ofiira amatetezedwa ndi chingwe pamene akuyang ana pansi pamtunda 	F	0	9.12
2	221101-114800_nya_394_elicit_45	bambo wina yemwe wavala malaya obiriwira komanso mpango wa plaid wavala magalasi ndipo akuwerenga buku kumbuyo kwa buluu 	M	1	9.12
2	221029-161925_nya_394_elicit_46	mayi wovala zovala zosanjikizana waima kutsogolo kwa botolo la zakumwa zoziziritsa kukhosi 	M	1	10.19
2	221113-084828_nya_394_elicit_4	nyani wina akudumphira pafupi ndi nyani wina pamwamba pa matabwa 	M	1	6.24
3	221114-062550_nya_626_elicit_11	mtsikana watsitsi lakuda wovala malaya apinki ndi kabudula wa jean akugwada pafupi ndi mabuku a ana opaka utoto atayikidwa pa phula lakuda 	F	0	15.77
2	221030-144005_nya_394_elicit_18	anyamata anayi ovala mayunifolomu ofiirira ndi otuwa akulankhula ndi mwamuna wina pachitseko chagalaja chomwe chili panyumba ya njerwa zofiira 	M	1	16.68
2	221113-084828_nya_394_elicit_11	mayi wina atavala epuloni waima pamzere wautali kwambiri 	M	1	5.17
4	221112-005507_nya_626_elicit_17	apolisi anayi kapena apolisi akujambula chithunzi pomwe awiri a iwo akukumbatirana 	F	0	9.73
7	221026-000800_nya_b6c_elicit_31	kamnyamata kakang ono ka tsitsi lopotanata shati yobiriwira ndi jeans ya buluu ali ndi mpira wa baseball pafupi ndi pinata pamene mkazi kumbuyo kwake akukonzekera kuti amujambule 	F	0	18.54
4	221112-005507_nya_626_elicit_9	kamera imayang ana pansi mkati mwa chubu chobiriwira pamene mwana akutsetsereka 	F	0	11.09
