audio	sentence	gender	gender_domain	duration
221102-102320_nya_510_elicit_0	wosewera mpira wina akungoyang ana mosowa chochita wina amalumpha ndikuwombera mpirawo kupita kudengu 	M	1	10.595
221102-102320_nya_510_elicit_2	mwana wamng ono wovala mathalauza abuluu akuthawa moto chakuseri 	M	1	7.35
221102-102320_nya_510_elicit_6	mwana wovala zovala zofiira ndi zakuda zachisanu akubisala kuseri kwa linga la matalala 	M	1	8.734
221102-102320_nya_510_elicit_7	azimayi awiri ovala madiresi ndi zidendene akuyang ana pansi pa magetsi olendewera pamsewu 	M	1	9.778
221102-102320_nya_510_elicit_9	mtsikana akuyang ana pa bolodi lake ndikulingalira zomwe angachite 	M	1	6.647
221102-102320_nya_510_elicit_10	mayi wina ali m khichini akuyeretsa mapazi ake pa choduladula ndi thaulo lofiira kapena epuloni yofiira mwamuna wake ataima pamenepo 	M	1	12.228
221102-102320_nya_510_elicit_11	wopulumutsa anthu wokhala ndi chipewa ndi kabudula wofiira atakhala panjanji akuyang ana madzi 	M	1	8.598
221102-102320_nya_510_elicit_15	anyamata awiri ovala malaya akukwera kumbuyo kwa boti ndi siketi yalalanje 	M	1	8.462
221102-102320_nya_510_elicit_17	kutsekeka kwa nkhope ya galu woyera atanyamula ndodo mkamwa mwake 	M	1	7.237
221102-102320_nya_510_elicit_18	ana anayi akudumpha m dziwe losambira awiri okha atavala mapiko amadzi 	M	1	8.621
221102-102320_nya_510_elicit_19	ana anayi ovala mwansangala amakhala pafupi ndi khoma la simenti atakutidwa ndi bulangeti labuluu 	M	1	9.959
221102-102320_nya_510_elicit_22	bambo atakhala pa sofa atagwira mwana wawo wamkazi ndi mwana wawo wamkazi akumwetulira ndi kamera 	M	1	10.3
221102-102320_nya_510_elicit_23	bambo wina wovala jekete lofiira ali pamphambano atanyamula chikwama m dzanja lake lamanja pamene ma taxi akudutsa mumsewu 	M	1	10.958
221102-102320_nya_510_elicit_24	mayi wina wachikulire akuyenda m njira atanyamula matumba awiri oyera 	M	1	7.191
221102-102320_nya_510_elicit_25	mwamuna wooneka wosangalala watsitsi lalitali wovala magalasi m maso ndi zovala zokongola kwambiri ndi chipewa waima kutsogolo kwa makwerero 	M	1	12.818
