audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_0.wav	wosewera mpira wina akungoyang ana mosowa chochita wina amalumpha ndikuwombera mpirawo kupita kudengu 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_2.wav	mwana wamng ono wovala mathalauza abuluu akuthawa moto chakuseri 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_6.wav	mwana wovala zovala zofiira ndi zakuda zachisanu akubisala kuseri kwa linga la matalala 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_7.wav	azimayi awiri ovala madiresi ndi zidendene akuyang ana pansi pa magetsi olendewera pamsewu 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_9.wav	mtsikana akuyang ana pa bolodi lake ndikulingalira zomwe angachite 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_10.wav	mayi wina ali m khichini akuyeretsa mapazi ake pa choduladula ndi thaulo lofiira kapena epuloni yofiira mwamuna wake ataima pamenepo 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_11.wav	wopulumutsa anthu wokhala ndi chipewa ndi kabudula wofiira atakhala panjanji akuyang ana madzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_15.wav	anyamata awiri ovala malaya akukwera kumbuyo kwa boti ndi siketi yalalanje 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_17.wav	kutsekeka kwa nkhope ya galu woyera atanyamula ndodo mkamwa mwake 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_18.wav	ana anayi akudumpha m dziwe losambira awiri okha atavala mapiko amadzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_19.wav	ana anayi ovala mwansangala amakhala pafupi ndi khoma la simenti atakutidwa ndi bulangeti labuluu 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_22.wav	bambo atakhala pa sofa atagwira mwana wawo wamkazi ndi mwana wawo wamkazi akumwetulira ndi kamera 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_23.wav	bambo wina wovala jekete lofiira ali pamphambano atanyamula chikwama m dzanja lake lamanja pamene ma taxi akudutsa mumsewu 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_24.wav	mayi wina wachikulire akuyenda m njira atanyamula matumba awiri oyera 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_25.wav	mwamuna wooneka wosangalala watsitsi lalitali wovala magalasi m maso ndi zovala zokongola kwambiri ndi chipewa waima kutsogolo kwa makwerero 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_29.wav	anthu atatu atakhala mozungulira tebulo akuyang ana mayi wina akugwedeza madzi obiriwira 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_30.wav	bambo wina wachikulire atavala magalasi abuluu m mutu mwake ataima pafupi ndi gulu la anthu ena atavala zida zosambira 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_31.wav	amuna ndi akazi ovala masuti osamba aima pafupi ndi dziwe pamene wosambira wina ali m madzi 	1
/scratch/skscla001/experiments/datasets/nyagen/audio/221102-102320_nya_510_elicit_33.wav	galu woyera wokhala ndi makutu ofiirira akudumpha galu woyera akuthamanga kuchokera pamenepo 	1
